6325-31;;;
Num Parte;6325-31;Num Serie;6392-31
a;;;
Hora Comienzo:;11:06:13;;
Frecuencia Gen;Potencia Gen;Voltaje;Potencia
1000;0;-2.13398841;-2.13398841
1100;0;-2.403611947;-2.403611947
1200;0;-2.377707782;-2.377707782
1300;0;-2.269001278;-2.269001278
1400;0;-2.449406607;-2.449406607
1500;0;-2.477846454;-2.477846454
1600;0;-2.449522853;-2.449522853
1700;0;-2.649510255;-2.649510255
1800;0;-2.715010843;-2.715010843
1900;0;-2.715652578;-2.715652578
2000;0;-2.711508719;-2.711508719
2100;0;-2.943191299;-2.943191299
2200;0;-2.905190254;-2.905190254
2300;0;-2.985207834;-2.985207834
2400;0;-3.141933344;-3.141933344
2500;0;-3.12383832;-3.12383832
2600;0;-3.266866378;-3.266866378
2700;0;-3.298214835;-3.298214835
2800;0;-3.328400882;-3.328400882
2900;0;-3.444728231;-3.444728231
3000;0;-3.356002643;-3.356002643
3100;0;-3.548743073;-3.548743073
3200;0;-3.571609242;-3.571609242
3300;0;-3.673111266;-3.673111266
3400;0;-3.668407835;-3.668407835
3500;0;-3.785594586;-3.785594586
3600;0;-3.782906416;-3.782906416
3700;0;-3.94784391;-3.94784391
3800;0;-4.013569858;-4.013569858
3900;0;-4.055121559;-4.055121559
4000;0;-4.258696734;-4.258696734
4100;0;-4.07573187;-4.07573187
4200;0;-4.317539143;-4.317539143
4300;0;-4.243476019;-4.243476019
4400;0;-4.469791089;-4.469791089
4500;0;-4.502718793;-4.502718793
4600;0;-4.615918186;-4.615918186
4700;0;-4.506712697;-4.506712697
4800;0;-4.720273185;-4.720273185
4900;0;-4.714485514;-4.714485514
5000;0;-4.924663754;-4.924663754
5100;0;-5.056429942;-5.056429942
5200;0;-5.056665596;-5.056665596
5300;0;-5.095497164;-5.095497164
5400;0;-5.160848644;-5.160848644
5500;0;-5.44322696;-5.44322696
5600;0;-5.411115643;-5.411115643
5700;0;-5.874231201;-5.874231201
5800;0;-6.113259798;-6.113259798
5900;0;-6.632481085;-6.632481085
6000;0;-6.809565315;-6.809565315
6100;0;-6.776373766;-6.776373766
6200;0;-6.326667483;-6.326667483
6300;0;-6.395642458;-6.395642458
6400;0;-6.073542291;-6.073542291
6500;0;-5.98122312;-5.98122312
6600;0;-5.93740843;-5.93740843
6700;0;-5.915054084;-5.915054084
6800;0;-5.751787891;-5.751787891
6900;0;-5.964642601;-5.964642601
7000;0;-5.920497156;-5.920497156
7100;0;-5.878504673;-5.878504673
7200;0;-6.111727799;-6.111727799
7300;0;-5.990121629;-5.990121629
7400;0;-6.067258269;-6.067258269
7500;0;-6.334731183;-6.334731183
7600;0;-6.323630417;-6.323630417
7700;0;-6.491392489;-6.491392489
7800;0;-6.804003616;-6.804003616
7900;0;-7.092302326;-7.092302326
8000;0;-7.583230438;-7.583230438
8100;0;-8.341582443;-8.341582443
8200;0;-8.279233847;-8.279233847
8300;0;-8.232079962;-8.232079962
8400;0;-8.121702475;-8.121702475
8500;0;-7.573406626;-7.573406626
8600;0;-7.470577563;-7.470577563
8700;0;-7.874593694;-7.874593694
8800;0;-7.053057799;-7.053057799
8900;0;-7.016505541;-7.016505541
9000;0;-7.225888933;-7.225888933
9100;0;-6.993280689;-6.993280689
9200;0;-6.881575246;-6.881575246
9300;0;-7.033031624;-7.033031624
9400;0;-6.998944948;-6.998944948
9500;0;-6.819604385;-6.819604385
9600;0;-6.968409979;-6.968409979
9700;0;-6.889448534;-6.889448534
9800;0;-7.232853241;-7.232853241
9900;0;-7.193621495;-7.193621495
10000;0;-7.110131612;-7.110131612
10100;0;-7.171408903;-7.171408903
10200;0;-7.267328244;-7.267328244
10300;0;-7.185768132;-7.185768132
10400;0;-7.32475827;-7.32475827
10500;0;-7.483340471;-7.483340471
10600;0;-7.409515068;-7.409515068
10700;0;-7.8;-7.8
10800;0;-7.779983771;-7.779983771
10900;0;-7.712318015;-7.712318015
11000;0;-7.589191442;-7.589191442
11100;0;-7.84751044;-7.84751044
11200;0;-7.551735342;-7.551735342
11300;0;-7.711682243;-7.711682243
11400;0;-7.657447111;-7.657447111
11500;0;-7.672827217;-7.672827217
11600;0;-7.830952719;-7.830952719
11700;0;-7.783124323;-7.783124323
11800;0;-7.842883364;-7.842883364
11900;0;-7.922686426;-7.922686426
12000;0;-7.923799327;-7.923799327
12100;0;-7.861227112;-7.861227112
12200;0;-8.174417215;-8.174417215
12300;0;-8.181624815;-8.181624815
12400;0;-8.227220195;-8.227220195
12500;0;-8.290064632;-8.290064632
12600;0;-8.358371713;-8.358371713
12700;0;-8.694724185;-8.694724185
12800;0;-8.789291724;-8.789291724
12900;0;-8.787502008;-8.787502008
13000;0;-8.721486804;-8.721486804
13100;0;-8.903751546;-8.903751546
13200;0;-8.708085579;-8.708085579
13300;0;-8.836460982;-8.836460982
13400;0;-8.961139668;-8.961139668
13500;0;-8.938772888;-8.938772888
13600;0;-9.111636708;-9.111636708
13700;0;-9.127385824;-9.127385824
13800;0;-9.201066302;-9.201066302
13900;0;-9.383261572;-9.383261572
14000;0;-9.389882889;-9.389882889
14100;0;-9.617477912;-9.617477912
14200;0;-9.85388261;-9.85388261
14300;0;-9.858148013;-9.858148013
14400;0;-10.18812107;-10.18812107
14500;0;-1.01E+01;-1.01E+01
14600;0;-10.23358839;-10.23358839
14700;0;-10.41970405;-10.41970405
14800;0;-10.31734976;-10.31734976
14900;0;-10.2546988;-10.2546988
15000;0;-10.47239354;-10.47239354
15100;0;-10.22800865;-10.22800865
15200;0;-10.23388502;-10.23388502
15300;0;-10.59106252;-10.59106252
15400;0;-10.73282473;-10.73282473
15500;0;-10.55884354;-10.55884354
15600;0;-10.29204406;-10.29204406
15700;0;-10.58319654;-10.58319654
15800;0;-10.70162208;-10.70162208
15900;0;-10.88989751;-10.88989751
16000;0;-10.97233598;-10.97233598
16100;0;-11.07166417;-11.07166417
16200;0;-11.46391097;-11.46391097
16300;0;-11.57860913;-11.57860913
16400;0;-11.42457723;-11.42457723
16500;0;-11.72064571;-11.72064571
16600;0;-12.22826816;-12.22826816
16700;0;-11.93859333;-11.93859333
16800;0;-11.62784358;-11.62784358
16900;0;-11.53659352;-11.53659352
17000;0;-11.74543094;-11.74543094
17100;0;-11.71651697;-11.71651697
17200;0;-11.31546176;-11.31546176
17300;0;-11.49302799;-11.49302799
17400;0;-11.39164882;-11.39164882
17500;0;-11.09909701;-11.09909701
17600;0;-11.03844823;-11.03844823
17700;0;-11.02;-11.02
17800;0;-10.99477095;-10.99477095
17900;0;-11.59848131;-11.59848131
18000;0;-10.86569124;-10.86569124


Hora TÚrmino:;11:07:15
